BG Word;RU Word;Friends?
бият;бы;FALSE
гласа;глаза;FALSE
губите;губите;FALSE
добродетелни;добродетели;FALSE
друг;друг;FALSE
друга;друга;FALSE
е;э;FALSE
им;им;FALSE
к;к;FALSE
ми;мы;FALSE
мъглата;могла;FALSE
остроумие;остроумные;FALSE
отто;отто;FALSE
пари;пари;FALSE
после;после;FALSE
пръстите;простите;FALSE
работя;работе;FALSE
ръка;река;FALSE
ръката;река;FALSE
сами;самый;FALSE
самият;самый;FALSE
своему;своему;FALSE
себе;себе;FALSE
страни;странный;FALSE
странни;страны;FALSE
съвършено;совершенно;FALSE
те;те;FALSE
телефона;телефонный;FALSE
телефонната;телефона;FALSE
телефонната;телефону;FALSE
то;то;FALSE
той;той;FALSE
у;у;FALSE
уж;уж;FALSE
я;я;FALSE
прав;прав;MAYBE
нужната;нужна;MAYBE
апелацията;апелляция;MAYBE
би;бы;MAYBE
бил;бил;MAYBE
бил;был;MAYBE
била;была;MAYBE
бледен;бледен;MAYBE
блестяща;блестяще;MAYBE
вас;вас;MAYBE
весла;весла;MAYBE
веслата;весла;MAYBE
все;все;MAYBE
вярно;верно;MAYBE
говорете;говорите;MAYBE
говорите;говорите;MAYBE
говоря;говоря;MAYBE
говорят;говорят;MAYBE
гръмко;громко;MAYBE
да;да;MAYBE
до;до;MAYBE
дог;дог;MAYBE
дома;дома;MAYBE
другия;другие;MAYBE
ето;это;MAYBE
живо;живо;MAYBE
за;за;MAYBE
замисли;замыслы;MAYBE
из;из;MAYBE
извинете;извините;MAYBE
иначе;иначе;MAYBE
как;как;MAYBE
капиталец;капиталец;MAYBE
кого;кого;MAYBE
край;край;MAYBE
края;края;MAYBE
ли;ли;MAYBE
машина;машина;MAYBE
машината;машина;MAYBE
мой;мой;MAYBE
на;на;MAYBE
над;над;MAYBE
него;него;MAYBE
ни;ни;MAYBE
нужно;нужно;MAYBE
от;от;MAYBE
отведе;отведя;MAYBE
по;по;MAYBE
поздравите;поздравить;MAYBE
понятно;понятно;MAYBE
права;права;MAYBE
право;право;MAYBE
предложение;предложение;MAYBE
предложение;предложения;MAYBE
предложения;предложение;MAYBE
предложения;предложения;MAYBE
при;при;MAYBE
проговори;проговорил;MAYBE
с;с;MAYBE
син;сын;MAYBE
стоят;стоят;MAYBE
стоят;стоять;MAYBE
страни;страны;MAYBE
там;там;MAYBE
число;число;MAYBE
явно;явно;MAYBE
било;было;MAYBE
а;а;TRUE
абстракция;абстракция;TRUE
автомобил;автомобиль;TRUE
автомобил;автомобиля;TRUE
автомобила;автомобиль;TRUE
автомобила;автомобиля;TRUE
адвокат;адвокат;TRUE
акт;акт;TRUE
акции;акции;TRUE
александър;александр;TRUE
ало;алло;TRUE
аномалии;аномалии;TRUE
апарати;аппараты;TRUE
архитектура;архитектуры;TRUE
ах;ах;TRUE
банка;банка;TRUE
банката;банка;TRUE
банкера;банкира;TRUE
банки;банки;TRUE
бацили;бациллы;TRUE
беден;беден;TRUE
без;без;TRUE
бездна;бездна;TRUE
безнадеждно;безнадежно;TRUE
безнаказано;безнаказанно;TRUE
безпристрастност;беспристрастности;TRUE
безразличен;безразличен;TRUE
безследно;бесследно;TRUE
безумие;безумие;TRUE
безумие;безумия;TRUE
безучастен;безучастен;TRUE
безшумно;бесшумно;TRUE
беляев;беляев;TRUE
библиотеката;библиотеки;TRUE
били;были;TRUE
благополучие;благополучие;TRUE
благоприятни;благоприятные;TRUE
богат;богат;TRUE
богати;богаты;TRUE
богатство;богатство;TRUE
богатство;богатством;TRUE
борба;борьба;TRUE
брат;брат;TRUE
братята;брата;TRUE
брут;брут;TRUE
бъдете;будете;TRUE
бюлетин;бюллетень;TRUE
в;в;TRUE
ваша;ваша;TRUE
вашата;ваша;TRUE
ваше;ваше;TRUE
ваши;ваши;TRUE
вашият;ваши;TRUE
ведомост;ведомость;TRUE
великолепно;великолепно;TRUE
весело;весело;TRUE
вещ;вещь;TRUE
ви;вы;TRUE
вид;вид;TRUE
вината;вина;TRUE
влажен;влажен;TRUE
внимание;внимание;TRUE
внимание;внимания;TRUE
внимателно;внимательно;TRUE
внушение;внушения;TRUE
вода;вода;TRUE
водата;вода;TRUE
впрочем;впрочем;TRUE
време;время;TRUE
вчера;вчера;TRUE
въздействие;воздействие;TRUE
въздуха;воздуха;TRUE
възможно;возможно;TRUE
възможност;возможность;TRUE
възнаграждение;вознаграждение;TRUE
вълнение;волнение;TRUE
въпрос;вопрос;TRUE
въпросително;вопросительно;TRUE
вяло;вяло;TRUE
вярност;верность;TRUE
гадости;гадости;TRUE
гениален;гениален;TRUE
гертруда;гертруда;TRUE
глава;глава;TRUE
главата;глава;TRUE
главният;главный;TRUE
гладко;гладко;TRUE
глюк;глюк;TRUE
гордост;гордость;TRUE
господин;господин;TRUE
готлиб;готлиб;TRUE
дайте;дайте;TRUE
дал;дал;TRUE
дала;дала;TRUE
дали;дали;TRUE
два;два;TRUE
две;две;TRUE
деликатност;деликатности;TRUE
ден;день;TRUE
десет;десять;TRUE
джером;джером;TRUE
добродетели;добродетели;TRUE
доверител;доверителю;TRUE
доволна;довольно;TRUE
доктор;доктор;TRUE
долара;доллара;TRUE
долари;доллары;TRUE
дом;дом;TRUE
дресировката;дрессировки;TRUE
дълг;долг;TRUE
дълга;долга;TRUE
дълги;долги;TRUE
дълго;долго;TRUE
единственият;единственный;TRUE
едновременно;одновременно;TRUE
експерти;эксперты;TRUE
елза;эльза;TRUE
ема;эмма;TRUE
етаж;этаж;TRUE
етажа;этажа;TRUE
желание;желания;TRUE
жив;жив;TRUE
завещание;завещание;TRUE
завещание;завещания;TRUE
завещания;завещание;TRUE
завещания;завещаний;TRUE
завещания;завещания;TRUE
завещателя;завещатель;TRUE
заключение;заключение;TRUE
закон;закон;TRUE
зала;зала;TRUE
залата;зала;TRUE
запас;запас;TRUE
заседание;заседание;TRUE
зауер;зауер;TRUE
заявление;заявления;TRUE
звезди;звезды;TRUE
зло;зло;TRUE
знаете;знаете;TRUE
знаеш;знаешь;TRUE
знайте;знайте;TRUE
знаменитият;знаменитый;TRUE
значение;значение;TRUE
значение;значения;TRUE
и;и;TRUE
игра;игра;TRUE
известни;известны;TRUE
известно;известно;TRUE
известност;известности;TRUE
извинения;извинений;TRUE
изкуствено;искусственно;TRUE
изумителни;изумительны;TRUE
изчерпани;исчерпаны;TRUE
икономката;экономка;TRUE
или;или;TRUE
императив;императив;TRUE
имущество;имущества;TRUE
имущество;имущество;TRUE
имущество;имуществом;TRUE
интереси;интересы;TRUE
искрено;искренно;TRUE
истина;истина;TRUE
истината;истина;TRUE
историята;история;TRUE
кабинет;кабинет;TRUE
кабинета;кабинета;TRUE
кабинета;кабинету;TRUE
кандидат;кандидат;TRUE
капитал;капитал;TRUE
карл;карл;TRUE
клиентката;клиентку;TRUE
книга;книга;TRUE
комплименти;комплименты;TRUE
кончина;кончине;TRUE
користна;корыстна;TRUE
коро;коро;TRUE
красавици;красавицы;TRUE
красив;красив;TRUE
красота;красота;TRUE
красотата;красота;TRUE
крез;крез;TRUE
кръв;кровь;TRUE
кръгли;круглый;TRUE
курс;курс;TRUE
лакей;лакей;TRUE
ласкаво;ласково;TRUE
ленти;ленты;TRUE
линии;линии;TRUE
линия;линия;TRUE
лист;лист;TRUE
лица;лица;TRUE
лицата;лица;TRUE
лице;лице;TRUE
лишил;лишил;TRUE
ловко;ловко;TRUE
лодка;лодка;TRUE
лодката;лодка;TRUE
лудвиг;людвиг;TRUE
луиза;луиза;TRUE
любопитната;любопытная;TRUE
любопитните;любопытные;TRUE
любопитство;любопытство;TRUE
любопитство;любопытством;TRUE
людерс;людерс;TRUE
математика;математика;TRUE
машинално;машинально;TRUE
между;между;TRUE
мерило;мерило;TRUE
месец;месяц;TRUE
мечтаете;мечтаете;TRUE
милиарда;миллиарда;TRUE
милиарда;миллиарды;TRUE
мислено;мысленно;TRUE
мисли;мысли;TRUE
много;много;TRUE
многозначително;многозначительно;TRUE
можете;можете;TRUE
можеш;можешь;TRUE
мои;мои;TRUE
момент;момент;TRUE
моя;моя;TRUE
моята;моя;TRUE
мълчание;молчание;TRUE
мъртвеца;мертвеца;TRUE
място;место;TRUE
наблюдение;наблюдение;TRUE
навярно;наверно;TRUE
например;например;TRUE
нас;нас;TRUE
наследник;наследник;TRUE
наследник;наследнику;TRUE
наследница;наследницы;TRUE
наследницата;наследницы;TRUE
наследници;наследницы;TRUE
наследство;наследства;TRUE
наследство;наследство;TRUE
насмешлива;насмешливо;TRUE
насмешливо;насмешливо;TRUE
настъпилата;наступила;TRUE
наука;наука;TRUE
не;не;TRUE
невероятни;невероятные;TRUE
неволно;невольно;TRUE
недоволно;недовольно;TRUE
недоволство;недовольством;TRUE
недоумение;недоумением;TRUE
недоумение;недоумении;TRUE
неизвестна;неизвестно;TRUE
неизвестна;неизвестны;TRUE
ненормален;ненормален;TRUE
ненормалност;ненормальности;TRUE
неоснователно;неосновательно;TRUE
неохотно;неохотно;TRUE
неподвижни;неподвижна;TRUE
неподвижни;неподвижно;TRUE
нервно;нервно;TRUE
несправедливи;несправедливы;TRUE
никого;никого;TRUE
но;но;TRUE
нормален;нормален;TRUE
нос;нос;TRUE
нотариуса;нотариуса;TRUE
нужни;нужны;TRUE
обикновено;обыкновенно;TRUE
обилно;обильно;TRUE
облекчение;облегчение;TRUE
обстоятелства;обстоятельства;TRUE
обстоятелства;обстоятельствам;TRUE
обстоятелства;обстоятельствах;TRUE
обстоятелствата;обстоятельства;TRUE
обстоятелствата;обстоятельствам;TRUE
обстоятелствата;обстоятельствах;TRUE
общество;обществе;TRUE
огромни;огромный;TRUE
огън;огонь;TRUE
около;около;TRUE
описание;описание;TRUE
ораторски;ораторский;TRUE
органи;органы;TRUE
освидетелствуват;освидетельствовать;TRUE
оскар;оскар;TRUE
оставим;оставим;TRUE
остроумните;остроумные;TRUE
открито;открыто;TRUE
отношение;отношение;TRUE
отношение;отношением;TRUE
отношение;отношения;TRUE
отношения;отношение;TRUE
отношения;отношений;TRUE
отношения;отношения;TRUE
отношения;отношениях;TRUE
отношенията;отношение;TRUE
отношенията;отношений;TRUE
отношенията;отношения;TRUE
отношенията;отношениях;TRUE
отрязани;отрезаны;TRUE
оттенък;оттенок;TRUE
отчасти;отчасти;TRUE
очевидно;очевидно;TRUE
пакет;пакет;TRUE
паркета;паркете;TRUE
партия;партия;TRUE
петна;пятна;TRUE
плачете;плачете;TRUE
площадка;площадке;TRUE
победителя;победителю;TRUE
повлиял;повлиял;TRUE
повърхност;поверхность;TRUE
под;под;TRUE
подавайте;подавайте;TRUE
подай;подай;TRUE
поднос;поднос;TRUE
подозрения;подозрений;TRUE
подробно;подробно;TRUE
подробност;подробности;TRUE
подробност;подробность;TRUE
подробности;подробности;TRUE
подробности;подробность;TRUE
пожелаете;пожелаете;TRUE
показания;показаний;TRUE
показания;показания;TRUE
показанията;показаний;TRUE
показанията;показания;TRUE
покойният;покойный;TRUE
помощ;помощь;TRUE
поприще;поприще;TRUE
поразени;поражены;TRUE
порок;порок;TRUE
посредством;посредство;TRUE
потресена;потрясена;TRUE
почтително;почтительно;TRUE
правата;права;TRUE
преграда;преграда;TRUE
предположения;предположения;TRUE
председателя;председатель;TRUE
председателя;председателя;TRUE
председателят;председателя;TRUE
представете;представьте;TRUE
представите;представьте;TRUE
предупреди;предупредить;TRUE
прекрасна;прекрасная;TRUE
прекрасна;прекрасно;TRUE
прекрасна;прекрасны;TRUE
прекрасно;прекрасно;TRUE
престъпление;преступление;TRUE
придавайте;придавайте;TRUE
придворни;придворных;TRUE
признайте;признайтесь;TRUE
пример;пример;TRUE
примери;примеры;TRUE
принудени;принуждены;TRUE
природа;природа;TRUE
природата;природа;TRUE
прискърбие;прискорбия;TRUE
проклятие;проклятие;TRUE
промишленост;промышленность;TRUE
просто;просто;TRUE
протокола;протоколе;TRUE
професори;профессора;TRUE
процедура;процедуры;TRUE
процес;процесс;TRUE
процесия;процессия;TRUE
психиатри;психиатры;TRUE
публиката;публика;TRUE
пудел;пудель;TRUE
първи;первый;TRUE
първият;первый;TRUE
работи;работы;TRUE
работят;работать;TRUE
равнодушно;равнодушно;TRUE
разговора;разговора;TRUE
разрив;разрыв;TRUE
разстояние;расстояние;TRUE
рано;рано;TRUE
реакция;реакция;TRUE
реката;река;TRUE
рефлекс;рефлекс;TRUE
рефлекса;рефлекса;TRUE
рефлекси;рефлекса;TRUE
рефлектология;рефлексология;TRUE
рефлектологията;рефлексология;TRUE
рецепта;рецепта;TRUE
реч;речь;TRUE
решено;решено;TRUE
решили;решили;TRUE
решително;решительно;TRUE
рибка;рыбка;TRUE
рицар;рыцарь;TRUE
рудолф;рудольф;TRUE
рязко;резко;TRUE
сам;сам;TRUE
сами;сами;TRUE
самият;сами;TRUE
самка;самка;TRUE
самодоволно;самодовольно;TRUE
свидетели;свидетели;TRUE
свое;свое;TRUE
своя;своя;TRUE
своята;своя;TRUE
сеанса;сеанса;TRUE
секретар;секретарь;TRUE
секретариат;секретариата;TRUE
сестри;сестры;TRUE
сили;силы;TRUE
силно;сильно;TRUE
скриват;скрывать;TRUE
сложни;сложный;TRUE
слуги;слуги;TRUE
случайна;случайна;TRUE
слушайте;слушайте;TRUE
смърт;смерть;TRUE
собственост;собственность;TRUE
специално;специально;TRUE
спокойно;спокойно;TRUE
спокойствие;спокойствие;TRUE
способности;способности;TRUE
способности;способность;TRUE
срока;срока;TRUE
старомодно;старомодное;TRUE
стена;стена;TRUE
стената;стена;TRUE
стени;стены;TRUE
стоп;стоп;TRUE
странни;странный;TRUE
странно;странно;TRUE
странност;странность;TRUE
сума;сумма;TRUE
суматоха;суматоха;TRUE
сух;сух;TRUE
сухо;сухо;TRUE
сцена;сцена;TRUE
съвсем;совсем;TRUE
съдебният;судебный;TRUE
съжаление;сожаление;TRUE
съжаление;сожаления;TRUE
създавали;создавали;TRUE
съмнения;сомнения;TRUE
състава;состава;TRUE
същество;существо;TRUE
талант;талант;TRUE
талантлив;талантлив;TRUE
твърдо;твердо;TRUE
телеграма;телеграмму;TRUE
телеграма;телеграммы;TRUE
телеграми;телеграммы;TRUE
телефона;телефона;TRUE
телефона;телефону;TRUE
телефонната;телефонный;TRUE
температурата;температура;TRUE
термометри;термометры;TRUE
ти;ты;TRUE
тихо;тихо;TRUE
тишина;тишина;TRUE
тишината;тишина;TRUE
точки;точки;TRUE
точно;точно;TRUE
трагикомедията;трагикомедии;TRUE
трудният;трудный;TRUE
трудно;трудно;TRUE
труп;труп;TRUE
тънко;тонко;TRUE
тясно;тесно;TRUE
убедил;убедил;TRUE
уважаеми;уважаемый;TRUE
уверен;уверен;TRUE
увлечение;увлечение;TRUE
угодно;угодно;TRUE
удар;удар;TRUE
ужас;ужас;TRUE
ужасно;ужасно;TRUE
ума;ума;TRUE
умеете;умеете;TRUE
умен;умен;TRUE
умеят;умеет;TRUE
усилено;усиленно;TRUE
условни;условный;TRUE
услуга;услуга;TRUE
услуги;услуги;TRUE
успеем;успеем;TRUE
успех;успех;TRUE
успешно;успешно;TRUE
успокойте;успокойтесь;TRUE
фалк;фальк;TRUE
философия;философия;TRUE
финансовия;финансовых;TRUE
фит;фит;TRUE
фрау;фрау;TRUE
химически;химически;TRUE
хонорар;гонорар;TRUE
цезар;цезарь;TRUE
ценност;ценность;TRUE
цирк;цирк;TRUE
часа;часа;TRUE
част;часть;TRUE
черни;черный;TRUE
честност;честность;TRUE
честолюбив;честолюбивы;TRUE
чувства;чувства;TRUE
чувства;чувство;TRUE
чувствата;чувства;TRUE
чувствата;чувство;TRUE
чудеса;чудеса;TRUE
чудовищно;чудовищно;TRUE
широко;широко;TRUE
шмитхоф;шмитгоф;TRUE
шум;шум;TRUE
щирнер;штирнер;TRUE
юрисконсулт;юрисконсульт;TRUE
юрист;юрист;TRUE
ясно;ясно;TRUE
